displaced	seed	insertion	merge
0.00	0	999	4932
0.00	1	999	4932
0.00	2	999	4932
0.00	3	999	4932
0.00	4	999	4932
0.00	5	999	4932
0.00	6	999	4932
0.00	7	999	4932
0.00	8	999	4932
0.00	9	999	4932
0.00	10	999	4932
0.00	11	999	4932
0.00	12	999	4932
0.00	13	999	4932
0.00	14	999	4932
0.00	15	999	4932
0.00	16	999	4932
0.00	17	999	4932
0.00	18	999	4932
0.00	19	999	4932
0.01	0	4474	6281
0.01	1	4234	6075
0.01	2	3382	6007
0.01	3	4030	5915
0.01	4	2794	5745
0.01	5	3126	5722
0.01	6	4278	6062
0.01	7	6432	6194
0.01	8	4082	6104
0.01	9	2684	5766
0.01	10	4536	5946
0.01	11	3470	5901
0.01	12	3546	5962
0.01	13	2796	5713
0.01	14	4762	6205
0.01	15	7002	6065
0.01	16	3802	6061
0.01	17	3822	5865
0.01	18	3572	5953
0.01	19	4068	5783
0.02	0	7837	6641
0.02	1	8579	6503
0.02	2	5989	6415
0.02	3	8383	6499
0.02	4	4807	6284
0.02	5	8631	6661
0.02	6	7125	6341
0.02	7	9327	6266
0.02	8	7257	6450
0.02	9	4743	6144
0.02	10	6795	6537
0.02	11	6873	6234
0.02	12	5963	6448
0.02	13	7243	6118
0.02	14	7317	6463
0.02	15	11281	6357
0.02	16	6413	6184
0.02	17	7911	6539
0.02	18	6895	6258
0.02	19	6597	6146
0.05	0	18798	7219
0.05	1	19966	7123
0.05	2	14880	7353
0.05	3	22036	7045
0.05	4	12346	6907
0.05	5	19128	7166
0.05	6	16872	6849
0.05	7	19072	6727
0.05	8	18566	6894
0.05	9	15510	7317
0.05	10	15916	7052
0.05	11	16012	7067
0.05	12	20246	7054
0.05	13	16530	7023
0.05	14	15244	7151
0.05	15	20498	6933
0.05	16	16156	6960
0.05	17	16470	7321
0.05	18	14990	7190
0.05	19	20120	6894
0.10	0	34437	7631
0.10	1	33497	7595
0.10	2	25523	7607
0.10	3	33375	7606
0.10	4	26121	7460
0.10	5	38925	7604
0.10	6	32871	7430
0.10	7	31985	7267
0.10	8	32307	7469
0.10	9	36543	7650
0.10	10	31125	7498
0.10	11	33321	7558
0.10	12	40409	7525
0.10	13	30787	7353
0.10	14	28875	7518
0.10	15	34457	7512
0.10	16	31291	7432
0.10	17	33661	7654
0.10	18	26917	7740
0.10	19	34711	7569
0.20	0	61067	8041
0.20	1	61009	8127
0.20	2	52419	8037
0.20	3	59605	7983
0.20	4	55465	7933
0.20	5	71089	8131
0.20	6	52029	7906
0.20	7	60183	7697
0.20	8	61459	7890
0.20	9	63229	7851
0.20	10	56103	7850
0.20	11	57121	7852
0.20	12	65433	7980
0.20	13	54209	7976
0.20	14	51788	7952
0.20	15	62477	8087
0.20	16	58987	7835
0.20	17	58785	7948
0.20	18	53599	8032
0.20	19	58903	7871
